id1,id2,mu,sigma,alpha1,beta1,pi1,alpha2,beta2,pi2,age1,age2,species1,species2,sex1,sex2,zoo,dist,cv,delta,u
42,36,110.61513774116672,31.274677507564004,15.39253636322436,4.22586996145907,0.2936996555552577,14.458058527328925,6.318626086151979,1.556548056219461e-09,young,subadult,Elenantilope,Elenantilope,female,female,,,0.2827341550732867,,
66,57,151.05776042656083,72.31592118481112,15.762164858674954,2.742019234605138,0.2367569297911823,24.82340062277452,1.2324295621768164,0.1808088611124078,young,adult,Blessbock,Blessbock,female,female,10.0,1.0,0.4787302617263988,-439.0,1.3089312365786214e-15
85,82,94.86342437604782,47.01143153159774,8.824506017121454,2.5135486870638006,0.2157397033655844,11.344529013180408,2.8652869164873365,7.132107296014483e-08,young,adult,Streifengnu,Streifengnu,female,female,,,0.4955696238124386,,
85,78,89.04648463626582,54.38400261662971,8.052276367623143,2.2486314752723264,0.1537797034720476,6.135073816286142,2.335756470673532,1.311720429480152e-09,young,adult,Streifengnu,Streifengnu,female,female,,,0.6107372215621505,,
100,97,158.70239809252905,56.85722504375994,21.635103864101083,3.158225569362359,0.3459529096799713,5.669599599759732,2.026958593461893,0.1765651847793086,young,adult,Säbelantilope,Säbelantilope,male,male,4.0,99.0,0.3582631751450295,,
130,128,87.1256564803218,96.50994757008571,12.145002182045424,1.3361718676231742,0.1714192950904663,14.266853934561686,3.0797608861194545,0.0120767697288462,young,adult,Wasserbock,Wasserbock,male,male,,,1.1077098465465618,,
42,35,101.35343934701088,32.233258470036866,15.641960241484474,4.175783276587452,0.271563924585264,18.763566847021107,3.849497073080229,1.1920928955095955e-09,young,subadult,Elenantilope,Elenantilope,female,female,,,0.3180282650268788,,
42,30,87.60696918999027,36.93890480285271,14.881165998043953,3.851842164552521,0.2238576279922196,9.503146209368358,3.949382458591816,1.1920928955078127e-09,young,adult,Elenantilope,Elenantilope,female,female,,,0.4216434507937897,,
68,55,125.4166544859472,72.07417191586477,17.67543907203373,2.720379465209231,0.0712700072651992,12.748057478081304,2.701383315860646,1.193058270855538e-09,young,adult,Blessbock,Blessbock,female,female,,,0.5746778385317286,,
68,64,116.04436160826154,62.36310685324257,17.665457242778878,2.7172457838668147,0.0698129478304984,12.420675866159238,2.6110959736783137,0.0433738824676524,young,adult,Blessbock,Blessbock,female,female,,,0.5374074706340817,,
68,56,89.18823228332444,27.854748962578512,24.84736504506682,3.767845952594144,0.2149436492727521,14.03526141755196,4.311953480353398,6.458335520555036e-07,young,adult,Blessbock,Blessbock,female,female,8.0,2.0,0.312314172503075,367.0,0.22242549030039976
42,31,107.46131616047732,41.44785407157176,14.832697860291042,3.919795407278793,0.2323380500887274,8.859822039590071,3.996267238800893,0.0380989065152838,young,adult,Elenantilope,Elenantilope,female,female,16.0,1.0,0.3857002273234363,203.0,0.35285402600727395
65,59,141.45070214271095,45.65275004087171,13.635454463669724,7.242075531506693,0.8874187087934451,10.420262059736611,3.270345118959366,0.0740916365836638,young,adult,Blessbock,Blessbock,female,female,10.0,3.0,0.3227467191701333,-554.0,5.783801939335623e-25
67,64,128.0372615302445,51.79643509324232,20.694604841257885,3.020683544066701,0.1200815431773385,15.176230345613217,3.1335446495780226,0.0997496273604996,young,adult,Blessbock,Blessbock,female,female,,,0.4045418847153893,,
85,79,103.13517930821008,46.48365572331927,9.196008454861657,2.682776489778382,0.2520344894006135,6.54088992853643,2.480756984483606,3.5748255333176476e-09,young,adult,Streifengnu,Streifengnu,female,female,,,0.4507061124546757,,
68,57,129.62285834201634,77.35838861224991,17.699342991140725,2.724100812855485,0.0715022119170197,27.9276571279605,1.3769584154062988,0.2143717377719434,young,adult,Blessbock,Blessbock,female,female,,,0.5967958861710638,,
68,59,114.71135704393454,53.475673433009085,19.286523871758583,2.945402467387108,0.1029833769688434,8.508016166108511,2.6507479944415824,1.294227176726837e-09,young,adult,Blessbock,Blessbock,female,female,,,0.4661759289668926,,
130,117,111.97320203069216,58.1830285604424,20.63423841554089,2.123716536139721,0.3514070021253547,12.897666228000814,2.8143910887252828,2.7353413735930348e-08,young,adult,Wasserbock,Wasserbock,male,male,,,0.5196156536141056,,
85,71,65.0942137197686,61.57478221483892,6.951038483955176,1.915635910884659,0.0610165868319862,6.563282424153421,2.467688948116676,0.0208106197155833,young,adult,Streifengnu,Streifengnu,female,female,,,0.9459332665099716,,
85,75,121.3182948468889,42.239091640322826,9.899964335640544,3.24199024900311,0.3695418458317289,9.671888878106152,4.519980983491896,0.0641445859114991,young,adult,Streifengnu,Streifengnu,female,female,,,0.3481675347780905,,
67,68,97.84851635107783,43.21358814855106,19.67925574999508,2.8681548235766763,0.0947494745710537,19.05962440946205,2.910915378830629,0.0989406088713688,young,young,Blessbock,Blessbock,female,female,8.0,1.0,0.441637643165706,41.0,0.11403758872454064
95,94,119.10003473444904,33.34451289644538,8.147984439544214,1.9679061245939595,0.5777579116531968,11.49010576306322,2.5128849054104703,0.0308699101728818,young,subadult,Rappenantilope,Rappenantilope,male,male,8.0,1.0,0.2799706395618763,-28.0,0.1622898116613742
130,126,108.44961519294392,52.54834688348255,21.662845134282097,2.2730980856948104,0.3962231738179653,5.692538840911862,2.2796394871615004,3.499685189114718e-09,young,adult,Wasserbock,Wasserbock,male,male,,,0.4845415706638811,,
42,38,125.48556914707662,44.23684008737419,15.67923400616238,4.266881178067043,0.2754683295365426,18.6471637714436,5.11657393243684,0.093484240748348,young,subadult,Elenantilope,Elenantilope,female,female,16.0,1.0,0.3525253173576155,79.0,0.4905620552633682
85,80,103.75760440349282,44.05802515233219,9.33163837165002,2.755751070999952,0.270074008377611,17.335794007070326,4.2395059433594975,0.0577880663681913,young,adult,Streifengnu,Streifengnu,female,female,,,0.4246245410697729,,
85,69,107.55332551461365,42.138251985630085,9.504619639312832,2.879254709064239,0.2993937272717518,8.334701331976989,3.131475854082612,1.7213796071544882e-08,young,adult,Streifengnu,Streifengnu,female,female,,,0.391789391764596,,
42,27,112.4124080117493,33.173651846363384,15.472809585241524,4.230113170614099,0.2870831395375045,17.059370261893697,10.04324666067158,2.942960458919954e-09,young,adult,Elenantilope,Elenantilope,female,female,,,0.2951066740149903,,
66,56,99.97159354625498,52.825341233317786,16.369711593802172,2.720571952335144,0.2247728545914207,14.035181499867088,4.311931907382856,1.1920928955078127e-09,young,adult,Blessbock,Blessbock,female,female,,,0.5284035130326945,,
42,23,103.745830688439,36.2190977877896,15.30288578612284,4.05789446576413,0.2510411898293861,6.379675576541046,4.708344009182481,1.1920928955078127e-09,young,adult,Elenantilope,Elenantilope,female,female,,,0.3491137672467999,,
67,65,113.77303222934772,44.90442127613342,20.324392261062663,2.963791716797396,0.1100558004830423,6.548110501734423,3.1073029530019585,0.6909077604519033,young,young,Blessbock,Blessbock,female,female,,,0.3946842269758047,,
68,62,105.28746173801706,49.16879749158821,18.522506115875544,2.8374998701439806,0.0882547159931394,13.552813710571062,4.415549754621675,0.0020030483183416,young,adult,Blessbock,Blessbock,female,female,8.0,1.0,0.4669957531499157,62.0,0.06093619314279965
65,63,193.6077409808727,53.87280441831409,11.334629706301351,5.959820232545563,0.9999999997653656,96.54633726112482,136.1684563839141,0.9999940555445288,young,adult,Blessbock,Blessbock,female,female,,,0.2782574919028491,,
85,81,119.30901283189138,47.98999396969549,9.912942103209923,3.081062365755427,0.3257611096546176,12.59254198489733,4.822864960819759,0.0554888322025109,young,adult,Streifengnu,Streifengnu,female,female,,,0.4022327637335687,,
85,76,117.54239461447726,47.7801678574796,9.824259588155888,3.025941118165948,0.316384282154409,6.578227531823842,3.058374239135143,1.8164742706393613e-08,young,adult,Streifengnu,Streifengnu,female,female,14.0,2.0,0.4064930616242073,-545.0,0.2722085826982002
85,84,103.5747225491764,63.84553643886048,8.483636871305203,2.405560881512512,0.1860432124913144,14.460471521097777,2.3571534253115103,0.0502740291521026,young,young,Streifengnu,Streifengnu,female,female,14.0,2.0,0.6164200575922099,-1038.0,0.23727244931132904
65,56,93.63839750965975,29.25876610598457,4.639961057442964,2.193948956573372,0.6745776113528252,14.539251159613343,4.458237612482988,0.0125998540560576,young,adult,Blessbock,Blessbock,female,female,,,0.3124654723289795,,
66,62,121.94121937647331,56.13616918393086,15.827667979840276,2.6987507242627715,0.2287816843437067,15.34461319631358,4.978151977378473,0.0369841188563972,young,adult,Blessbock,Blessbock,female,female,,,0.4603543368761939,,
42,22,177.92828509140793,36.324954955860406,10.847534983718475,7.78835560671214,0.9999999999994986,19.53270455270183,8.510160765616945,0.0491400156760429,young,adult,Elenantilope,Elenantilope,female,female,16.0,3.0,0.2041550332326252,-468.0,0.19936033577287277
85,83,164.1120020350585,47.64292373008157,232.5168225992068,121.8884769708616,0.8332884546204317,8.747899367234893,2.9502953258574904,0.1305870245917518,young,subadult,Streifengnu,Streifengnu,female,female,,,0.290307370206256,,
65,60,90.57937779263042,39.6376171389614,5.904302514506825,2.2660635617711526,0.530486708564443,9.937850231164466,3.739212093017914,1.211191228977643e-09,young,adult,Blessbock,Blessbock,female,female,,,0.4376008988459439,,
65,55,165.98499455310795,59.89274699735482,14.480204015527862,7.645162254588387,0.9971644838801396,12.74807005747323,2.701385642480328,1.5910333199806e-09,young,adult,Blessbock,Blessbock,female,female,10.0,1.0,0.3608322978749248,-334.0,0.11834740070413959
42,24,99.30113409571288,41.27791949509702,14.316554499233924,3.745866486953114,0.2128362640874306,6.184134430959083,4.235267338950831,0.0276573024967162,young,adult,Elenantilope,Elenantilope,female,female,,,0.4156842705875914,,
